"35";"tt0910970";"WALL·E";"2008";"1h 38m";"Andrew Stanton";"Elijah Wood, Viggo Mortensen, Ian McKellen";"8.4";"Adventure"
"36";"tt4154756";"Avengers: Infinity War";"2018";"2h 29m";"Anthony Russo";"Elijah Wood, Viggo Mortensen, Ian McKellen";"8.4";"Adventure"
"37";"tt4633694";"Spider-Man: Into the Spider-Verse";"2018";"1h 57m";"Bob Persichetti";"Elijah Wood, Viggo Mortensen, Ian McKellen";"8.4";"Adventure"
"38";"tt0090605";"Aliens";"1986";"2h 17m";"James Cameron";"Elijah Wood, Viggo Mortensen, Ian McKellen";"8.4";"Adventure"
"39";"tt0361748";"Inglourious Basterds";"2009";"2h 33m";"Quentin Tarantino";"Elijah Wood, Viggo Mortensen, Ian McKellen";"8.4";"Adventure"
"40";"tt2380307";"Coco";"2017";"1h 45m";"Lee Unkrich";"Elijah Wood, Viggo Mortensen, Ian McKellen";"8.4";"Adventure"
"41";"tt9362722";"Spider-Man: Across the Spider-Verse";"2023";"2h 20m";"Joaquim Dos Santos";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.6";"Animation"
"42";"tt0245429";"Spirited Away";"2001";"2h 5m";"Hayao Miyazaki";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.6";"Animation"
"43";"tt0110357";"The Lion King";"1994";"1h 28m";"Roger Allers";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.5";"Animation"
"44";"tt0095327";"Grave of the Fireflies";"1988";"1h 29m";"Isao Takahata";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.5";"Animation"
"45";"tt0910970";"WALL·E";"2008";"1h 38m";"Andrew Stanton";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.4";"Animation"
"46";"tt4633694";"Spider-Man: Into the Spider-Verse";"2018";"1h 57m";"Bob Persichetti";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.4";"Animation"
"47";"tt2380307";"Coco";"2017";"1h 45m";"Lee Unkrich";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.4";"Animation"
